%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=610569855, 2023/08/15 10:25:23.71)
1 10 2.878486e+00 0 0 2.796637e+00 2.819652e+00 2.940976e+00 2.812083e+00 
2 19 3.463254e+00 0 0 3.638205e+00 3.300949e+00 3.979436e+00 3.361549e+00 
3 28 3.508312e+00 0 0 3.516480e+00 3.292301e+00 4.057468e+00 3.688624e+00 
4 37 3.378259e+00 0 0 3.288639e+00 3.102455e+00 3.760391e+00 3.588937e+00 
5 46 3.267246e+00 0 0 3.124505e+00 2.925766e+00 3.464545e+00 3.442634e+00 
6 55 3.363643e+00 0 0 3.452534e+00 2.958757e+00 3.843434e+00 3.477394e+00 
7 64 2.992524e+00 0 0 3.011418e+00 2.498821e+00 3.258840e+00 3.032882e+00 
8 73 2.635002e+00 0 0 2.530950e+00 2.072480e+00 2.747424e+00 2.600906e+00 
9 82 2.652256e+00 0 0 2.491588e+00 1.973897e+00 2.698638e+00 2.696139e+00 
10 91 2.079708e+00 0 0 1.872546e+00 1.458509e+00 1.997654e+00 2.027345e+00 
11 100 1.905391e+00 0 0 1.627129e+00 1.378102e+00 1.727809e+00 1.795422e+00 
12 109 1.807162e+00 0 0 1.479571e+00 1.240170e+00 1.551071e+00 1.786394e+00 
13 118 1.523176e+00 0 0 1.203921e+00 9.898491e-01 1.255052e+00 1.425904e+00 
14 127 1.235819e+00 0 0 9.235399e-01 7.681730e-01 9.787614e-01 1.094813e+00 
15 136 1.267639e+00 0 0 9.195158e-01 7.451998e-01 9.556955e-01 1.259873e+00 
16 145 1.241033e+00 0 0 8.927821e-01 7.033072e-01 8.946435e-01 1.255470e+00 
17 154 1.231845e+00 0 0 9.240260e-01 6.794751e-01 8.387211e-01 1.187577e+00 
18 163 1.271120e+00 0 0 9.942949e-01 6.699495e-01 8.182880e-01 1.159919e+00 
19 172 1.099729e+00 0 0 8.352622e-01 5.544090e-01 6.964149e-01 9.558550e-01 
20 181 8.838771e-01 0 0 6.345927e-01 4.302162e-01 5.384490e-01 7.267552e-01 
21 190 7.912809e-01 0 0 5.704397e-01 3.631970e-01 4.581587e-01 6.259982e-01 
22 199 8.219717e-01 0 0 6.159260e-01 3.853953e-01 4.587530e-01 6.299957e-01 
23 208 8.135850e-01 0 0 6.080568e-01 3.796409e-01 4.487098e-01 6.014539e-01 
24 217 6.800121e-01 0 0 4.999559e-01 3.000975e-01 3.579243e-01 4.822653e-01 
25 226 6.845844e-01 0 0 4.804620e-01 3.012401e-01 3.737956e-01 4.740922e-01 
26 235 6.346265e-01 0 0 4.200769e-01 2.693200e-01 3.392706e-01 4.439997e-01 
27 244 5.353425e-01 0 0 3.366503e-01 2.187046e-01 2.721487e-01 3.657590e-01 
28 253 5.301242e-01 0 0 3.157127e-01 2.198003e-01 2.862625e-01 3.524927e-01 
29 262 4.785826e-01 0 0 2.711228e-01 1.912761e-01 2.468903e-01 3.151854e-01 
30 271 3.984502e-01 0 0 2.150037e-01 1.532806e-01 2.025298e-01 2.477170e-01 
31 280 3.994419e-01 0 0 2.070274e-01 1.604479e-01 1.989390e-01 2.434836e-01 
32 289 5.240052e-01 0 0 2.646514e-01 2.251337e-01 2.667127e-01 3.120266e-01 
33 298 6.065715e-01 0 0 2.949820e-01 2.656424e-01 2.983200e-01 3.487134e-01 
34 307 6.182269e-01 0 0 2.899947e-01 2.679450e-01 2.869383e-01 3.372455e-01 
