%  columns="iteration, evaluation, void, void, void, xmean" (startseed=610569855, 2023/08/15 10:25:23.71)
0 1 0 0 0 1.000500e+03 0.000000e+00 1.505000e+02 7.750000e+00 
1 10 0 0 0 1.243842e+03 7.650254e+00 2.250767e+02 6.017551e+00 
2 19 0 0 0 1.805627e+03 1.112746e+01 3.244574e+02 9.478131e+00 
3 28 0 0 0 1.315314e+03 1.684859e+01 1.804831e+02 2.423448e+00 
4 37 0 0 0 1.415989e+03 1.987361e+01 2.281336e+02 3.710797e-01 
5 46 0 0 0 1.032291e+03 2.336394e+01 2.519000e+02 5.583491e+00 
6 55 0 0 0 4.150718e+02 1.429823e+01 1.208112e+02 3.836165e+00 
7 64 0 0 0 3.777384e+02 1.854834e+01 1.626112e+02 1.971179e+00 
8 73 0 0 0 7.197594e+02 1.688504e+01 1.378685e+02 5.167712e+00 
9 82 0 0 0 9.056637e+02 1.595988e+01 9.928211e+01 7.044719e+00 
10 91 0 0 0 6.216256e+02 1.560901e+01 1.222985e+02 4.766402e+00 
11 100 0 0 0 6.046734e+02 2.126413e+01 1.276181e+02 3.832251e+00 
12 109 0 0 0 5.909040e+02 2.015816e+01 1.167367e+02 1.471847e+00 
13 118 0 0 0 7.383340e+02 2.041692e+01 1.405167e+02 2.235434e+00 
14 127 0 0 0 7.130106e+02 2.106749e+01 1.232284e+02 2.214765e+00 
15 136 0 0 0 6.085891e+02 2.095670e+01 1.179190e+02 4.601754e-02 
16 145 0 0 0 5.154728e+02 1.982743e+01 1.175743e+02 -4.796507e-01 
17 154 0 0 0 3.856144e+02 2.158200e+01 1.164177e+02 -4.337815e-01 
18 163 0 0 0 2.637819e+02 2.207566e+01 1.215795e+02 -3.101235e-01 
19 172 0 0 0 4.373275e+02 2.148318e+01 1.370847e+02 3.149449e-01 
20 181 0 0 0 4.025195e+02 2.050383e+01 1.248296e+02 1.205676e-01 
21 190 0 0 0 4.843330e+02 2.057947e+01 1.218918e+02 -1.163318e-01 
22 199 0 0 0 5.730419e+02 1.935044e+01 1.175038e+02 4.074625e-01 
23 208 0 0 0 6.141602e+02 1.886753e+01 1.125904e+02 6.246806e-01 
24 217 0 0 0 5.033591e+02 1.931385e+01 1.199677e+02 2.479974e-01 
25 226 0 0 0 4.949184e+02 1.844627e+01 1.081529e+02 7.015841e-01 
26 235 0 0 0 4.924926e+02 1.904805e+01 1.061302e+02 2.366336e-02 
27 244 0 0 0 5.087043e+02 1.850257e+01 1.060460e+02 5.401319e-01 
28 253 0 0 0 5.114016e+02 1.790716e+01 9.808569e+01 3.387964e-01 
29 262 0 0 0 4.917316e+02 1.808733e+01 1.018663e+02 1.688920e-02 
30 271 0 0 0 5.034874e+02 1.842783e+01 1.065218e+02 9.086040e-02 
31 280 0 0 0 5.156748e+02 1.895912e+01 1.088331e+02 3.335903e-01 
32 289 0 0 0 5.179120e+02 2.006907e+01 1.168000e+02 4.400894e-01 
33 298 0 0 0 5.110316e+02 2.075216e+01 1.199973e+02 1.617847e-01 
34 307 0 0 0 5.353559e+02 2.099721e+01 1.187906e+02 1.432198e-01 
