%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=610569855, 2023/08/15 10:25:23.71)
1 10 -8.749586119872088119e-03 0 0 1.031540e+03 9.518941e+00 2.860886e+02 4.530309e+00 
2 19 -1.855935869296787555e-02 0 0 2.305783e+03 1.454388e+01 3.578482e+02 1.116352e+01 
3 28 -4.624578974477420168e-01 0 0 1.249603e+03 1.700872e+01 1.115675e+02 1.217231e+00 
4 37 -4.229303701942895843e-01 0 0 7.373459e+02 1.686966e+01 1.415205e+02 -4.096398e-01 
5 46 -5.211140144182285772e-01 0 0 8.676096e+02 3.432727e+01 1.308383e+02 -7.845017e+00 
6 55 -4.603016718548227360e-01 0 0 2.121275e+02 7.590310e+00 3.825331e+01 -1.479861e+00 
7 64 -5.295685132825602714e-01 0 0 3.825370e+02 2.182651e+01 1.369013e+02 -2.293559e+00 
8 73 -4.591423996318320100e-01 0 0 6.196835e+02 1.690237e+01 1.095898e+02 5.739399e+00 
9 82 -4.764562696636969186e-01 0 0 5.544302e+02 1.449625e+01 7.903608e+01 1.026636e+01 
10 91 -4.325925206854317473e-01 0 0 1.068101e+03 3.326163e+01 1.433320e+02 3.230024e+00 
11 100 -5.058970675238287917e-01 0 0 4.525630e+02 2.448680e+01 1.230872e+02 2.253365e+00 
12 109 -5.074797953958252172e-01 0 0 9.217692e+02 2.299618e+01 1.164002e+02 1.433719e+00 
13 118 -4.755806677632189450e-01 0 0 6.705912e+02 1.982357e+01 1.377342e+02 2.311129e+00 
14 127 -5.113450918264241807e-01 0 0 6.341231e+02 1.912232e+01 1.009576e+02 1.425872e+00 
15 136 -5.403579833079263928e-01 0 0 5.625708e+02 2.174874e+01 1.292193e+02 -6.409446e-01 
16 145 -5.465468145803196176e-01 0 0 5.614913e+02 1.925715e+01 1.170439e+02 1.895419e-01 
17 154 -5.473743449966725905e-01 0 0 5.699125e+02 2.432216e+01 1.228864e+02 -6.142870e-01 
18 163 -5.382315387955747266e-01 0 0 2.763517e+02 2.146766e+01 1.227584e+02 -1.268277e+00 
19 172 -5.310929396959545024e-01 0 0 4.635184e+02 2.191277e+01 1.361915e+02 5.180820e-01 
20 181 -5.316149080505059299e-01 0 0 2.927302e+02 2.096552e+01 1.326490e+02 -1.072710e+00 
21 190 -5.483028631864240721e-01 0 0 6.049754e+02 2.040504e+01 1.195257e+02 -8.865851e-01 
22 199 -5.460477446378837474e-01 0 0 6.163820e+02 1.894454e+01 1.127760e+02 3.866415e-01 
23 208 -5.435735407145421139e-01 0 0 5.864613e+02 1.867001e+01 1.115764e+02 1.061886e+00 
24 217 -5.490434129769922178e-01 0 0 4.883477e+02 1.969887e+01 1.191491e+02 -2.772998e-01 
25 226 -5.480729887110482590e-01 0 0 4.695690e+02 1.850609e+01 1.084514e+02 2.589975e-01 
26 235 -5.487306985803304116e-01 0 0 4.887816e+02 1.850238e+01 1.052237e+02 -8.194350e-01 
27 244 -5.487548369764889689e-01 0 0 4.731720e+02 1.876025e+01 1.070864e+02 2.826159e-01 
28 253 -5.469557742005091150e-01 0 0 5.545516e+02 1.869755e+01 1.114413e+02 -5.900488e-01 
29 262 -5.487426922604533575e-01 0 0 4.507489e+02 1.897848e+01 1.101062e+02 -3.650124e-01 
30 271 -5.484706620008146238e-01 0 0 5.341033e+02 1.884307e+01 1.110421e+02 1.431282e-01 
31 280 -5.492247334610360632e-01 0 0 5.324268e+02 1.895029e+01 1.089742e+02 4.801107e-01 
32 289 -5.501418013728210932e-01 0 0 5.290999e+02 2.047361e+01 1.184215e+02 4.762034e-01 
33 298 -5.498923615550919131e-01 0 0 4.701854e+02 2.074057e+01 1.200940e+02 1.806475e-01 
34 307 -5.499735101029672446e-01 0 0 5.061275e+02 2.158091e+01 1.201032e+02 2.723969e-01 
