system:index,date,mean_snow_cover,.geo
2000_02_26,2000-02-26,0.5240568444537311,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_27,2000-02-27,0.5384582184106824,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_28,2000-02-28,0.5629553143954851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_29,2000-02-29,0.6324275623091435,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_01,2000-03-01,0.4685442687356452,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_02,2000-03-02,0.5508928435425964,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_03,2000-03-03,0.5033789890582555,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_04,2000-03-04,0.5638116951187225,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,2000-03-05,0.4584530156723824,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_06,2000-03-06,0.5088017190130398,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_07,2000-03-07,0.5578857207039968,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_08,2000-03-08,0.4281141554537749,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_10,2000-03-10,0.4754839292906432,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_11,2000-03-11,0.5112562573210964,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_12,2000-03-12,0.3612656898643612,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,2000-03-13,0.24666666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_14,2000-03-14,0.6162760424944075,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_15,2000-03-15,0.5899982996129679,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_16,2000-03-16,0.649670526358361,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_17,2000-03-17,0.5280112746978087,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_18,2000-03-18,0.596059860185702,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_19,2000-03-19,0.4230505593854037,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_20,2000-03-20,0.5444818778029341,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,2000-03-21,0.11659697188175919,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_24,2000-03-24,0.6221879654554069,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_25,2000-03-25,0.7091595993790734,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_26,2000-03-26,0.5755878551351694,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_27,2000-03-27,0.7106475704544315,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_28,2000-03-28,0.6397575004114465,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,2000-03-29,0.6657803912947913,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_30,2000-03-30,0.6892717851896967,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_31,2000-03-31,0.6399630700089035,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_01,2000-04-01,0.6892876469447989,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_02,2000-04-02,0.5775744593074748,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_03,2000-04-03,0.6263471198661352,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_04,2000-04-04,0.5275055869716972,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_05,2000-04-05,0.5886026864237752,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,2000-04-06,0.5662650961005197,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_07,2000-04-07,0.5524918749706388,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_08,2000-04-08,0.5950227459528792,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_09,2000-04-09,0.37049727180187525,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_10,2000-04-10,0.5398908169993003,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_11,2000-04-11,0.38113867300673226,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_12,2000-04-12,0.5997028214973966,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_13,2000-04-13,0.466721078790432,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,2000-04-14,0.45031325399395633,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_16,2000-04-16,0.5682305515231093,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_17,2000-04-17,0.6352692431140433,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_18,2000-04-18,0.5336788534527106,"{""type"":""MultiPoint"",""coordinates"":[]}"
